latr,lonr,index,"País","nomdep","nomprov","nomdist","AsientoElectoral","nombrerecinto","DIRECCIÓN RECINTO ELECTORAL",CANTIDAD DE MESAS,Habilitados,latitud,longitud,dif,Inscritos,"Recinto",num_rec,"nombremunicipio",id_rec,density,x,y
-51.5,-69.25,63,"Argentina","Santa Cruz","Güer Aike","Güer Aike","Río Gallegos","Pastoral de Rio Gallegos","Errazuriz 53,  Río Gallegos, Santa Cruz, Argentina",4,864,-51.6230485,-69.2168291,0,864,"Pastoral de Rio Gallegos",4,"Güer Aike",1101192438426096,1.3824,184.595,3.799527577528661
-47.75,-66,28,"Argentina","Santa Cruz","Deseado","Deseado","Puerto Deseado","Escuela N°56 Krewen Kau","Av. 12 de Octubre 1301, esq Venezuela y Patagonia",1,234,-47.7458554,-65.8879889,0,234,"Escuela N°56 Krewen Kau",1,"Deseado",1101192438326095,0.3744,345.196,3.5844123934805787
-45.75,-67.5,92,"Argentina","Chubut","Escalante","Comodoro Rivadavia","Comodoro Rivadavia","Centro Cultural de Comodoro Rivadavia","Avenida Rivadavia, 9 de Julio y, U9000 Comodoro Rivadavia, Chubut, Argentina",8,1796,-45.8632312,-67.4761418,-237,2033,"Centro Cultural de Comodoro Rivadavia",9,"Comodoro Rivadavia",1101185407325303,2.8736,178.577,12.18519362131412
-42.75,-65,77,"Argentina","Chubut","Biedma","Puerto Madryn","Puerto Madryn","Centro de Residentes Bolivianos \"Wiñay\"","325, América 299, U9120 Puerto Madryn, Chubut, Argentina",6,1270,-42.7590766,-65.0504149,-238,1508,"Centro de Residentes Bolivianos \"Wiñay\"",7,"Puerto Madryn",1101185437226084,2.032,216.337,17.719754919484842
-40.75,-63,69,"Argentina","Rio Negro","Adolfo Alsina","Viedma","Viedma","Universidad Nacional De Rio Negro","Calle Colón 460, Viedma, Río Negro, Argentina",5,1095,-40.8119087,-62.9962044,0,1095,"Universidad Nacional De Rio Negro",5,"Viedma",1101123376625091,1.752,267.784,17.348951099458336
-38.75,-68,59,"Argentina","Neuquén","Confluencia","Centenario","Centenario","Centro de Formación Profesional N° 29
Darrieux 470","Juan B Darrieux entre Islas malvinas y primeros pobladores",4,789,-38.8289063,-68.1227342,0,789,"Centro de Formación Profesional N° 29 Darrieux 470",4,"Centenario",1101189437926091,1.2624,129.154,36.54450789477958
-38,-57.75,66,"Argentina","Buenos Aires","General Pueyrredón","General Pueyrredón","Mar del Plata","Escuela Formación Profesional N°7 Batan","N 44, Batán, Buenos Aires, Argentina",3,728,-38.010832,-57.707573,-253,981,"Escuela Formación Profesional N°7 Batan",4,"General Pueyrredón",1101110436926081,1.1648,576.411,5.468798201592221
-37,-56.75,76,"Argentina","Buenos Aires","Pinamar","Pinamar","Pinamar","Escuela Primaria N 7 de Ostende Pinamar","Calle Misiones, Ostende, Pinamar",6,1226,-37.1050711,-56.8717377,-238,1464,"Escuela Primaria N 7 de Ostende Pinamar",7,"Pinamar",1101110437126083,1.9616,743.534,9.471308543318395
-36.5,-64.25,13,"Argentina","La Pampa","Capital","Santa Rosa","Santa Rosa","Centro Municipal de Cultura","Calle Quintana 172, L6300ARD Santa Rosa, La Pampa, Argentina",1,125,-36.6187881,-64.2932064,0,125,"Centro Municipal de Cultura",1,"Santa Rosa",1101196439126103,0.2,178.4,49.602876699394855
-35,-58,96,"Argentina","Buenos Aires","La Plata","La Plata","La Plata","Escuela Primaria N°5 Cnl. De Marina Tomas Espora","Plaza Adolfo Alsina 85 Esq 37 y 38 / Diagonal 74, La Plata, Buenos Aires, Argentina",10,2166,-34.9001983,-57.9567849,0,2166,"Escuela Primaria N°5 Cnl. De Marina Tomas Espora",10,"La Plata",1101110414025187,11.7904,662.84,69.18393373536911
-35,-58,113,"Argentina","Buenos Aires","La Plata","La Plata","La Plata","Escuela Primaria N°102 Dr. Dardo Rocha","Calle 7 Esq. cerca al monumento Juan Bautista Cabral, La Plata, Buenos Aires, Argentina",11,2451,-34.9168208,-57.9416072,-240,2691,"Escuela Primaria N°102 Dr. Dardo Rocha",12,"La Plata",1101110414025188,11.7904,668.343,66.59977373864339
-35,-58,114,"Argentina","Buenos Aires","La Plata","La Plata","La Plata","Escuela Secundaria Nº34 Almafuerte","Calle 58 Esq. 8 y 9 / Diagonal 73 y botonda Dardo Rocha, La Plata, Buenos Aires, Argentina",12,2752,-34.9205835,-57.9454487,0,2752,"Escuela Secundaria Nº34 Almafuerte",12,"La Plata",1101110414025064,11.7904,667.135,66.15585783668571
-35,-56.25,21,"Uruguay","Montevideo","Montevideo","Montevideo","Montevideo","Embajada","Dr Prudencio de Pena 2469, 11600
Montevideo, Departamento de Montevideo, Uruguay",1,202,-34.913503,-56.1761849,0,202,"Embajada",1,"Montevideo",1123349379225117,0.3232,863.774,53.98015512902415
-34.75,-68.25,51,"Argentina","Mendoza","San Rafael","San Rafael","Salto de las Rosas","Escuela “Pedro Goyena”","Sarmiento N 351, Salto de las Rosas, Distrito Cañada Seca, Mendoza, Argentina",3,557,-34.7238482,-68.2289446,0,557,"Escuela “Pedro Goyena”",3,"San Rafael",1101111414625151,0.8912,151.771,52.20770633064688
-34.75,-60.5,35,"Argentina","Buenos Aires","Chacabuco","Chacabuco","Chacabuco","Escuela de Educación Primaria N 12 Hipolito Yrigoye","Calle Entre Ríos 199 esq. Cnl Jose V de Olavarria, Chacabuco, Buenos Aires, Argentina",2,316,-34.643309,-60.463137,0,316,"Escuela de Educación Primaria N 12 Hipolito Yrigoye",2,"Chacabuco",1101110436826080,0.5056,190.194,91.52458570590804
-34.75,-58.75,85,"Argentina","Buenos Aires","La Matanza","La Matanza","González Catán","Escuela Secundaria Nº51","Atalco 4551 y Tinogasta, Buenos Aires, Argentina",8,1702,-34.7668797,-58.6285719,0,1702,"Escuela Secundaria Nº51",8,"La Matanza",1101110413425183,6.0288,387.267,97.13993411340934
-34.75,-58.75,94,"Argentina","Buenos Aires","Ituzaingó","Ituzaingó","Ituzaingó","Esc Primaria Nro 3 Jose Manuel Estrada","Avenida Nestor Carlos Kirchner entre calle gomensoro  y Camacua  (24 de Octubre)",9,2066,-34.661142,-58.670223,0,2066,"Esc Primaria Nro 3 Jose Manuel Estrada",9,"Ituzaingó",1101110412925192,6.0288,373.874,116.48210014682286
-34.75,-58.5,38,"Argentina","Buenos Aires","José M. Ezeiza","José M. Ezeiza","Carlos Spegazzini","Escuela N24 Rene Gerónimo Favaloro","B. Matienzo 701-749, Tristán Suárez, Buenos Aires, Argentina",2,386,-34.8643528,-58.5164371,0,386,"Escuela N24 Rene Gerónimo Favaloro",2,"José M. Ezeiza",1101110437026082,124.3232,429.184,82.08495994532294
