RECI,idloc,id_rec,dep,"nomdep",PROV,"nomprov",sec,"nombremunicipio","AsientoElectoral",dist,"nomdist",zona,"nomzona",CIRCUNDIST,"nombrerecinto",Habilitados,Inhabilitados,Depurados,"NombreReci","NombreMuni","AsientoEle",latitud,longitud,density,CANTIDAD DE MESAS,x,y
523,2794,1003201279400523,1,"Chuquisaca",1,"Oropeza",1,"Sucre","Sucre",1,"DISTRITO 1",1,"ZONA 1",1,"Coliseo Jorge Revilla Aldana",1378,3,71,"Coliseo Jorge Revilla Aldana","Sucre","Sucre",-19.03738,-65.25701,1238.6939379760558,6,1962.81,978.0544016712217
25722,4213,1003201421325722,1,"Chuquisaca",10,"Luis Calvo",2,"Huacaya","Camatindi",0,"SIN DISTRITO",0,"SIN ZONA",4,"U.E. Camatindi",102,1,0,"U.E. Camatindi","Huacaya","Camatindi",-20.463073,-63.484521,16.49444694567377,1,2482.17,702.8834997245455
15,1494,1003205149400015,5,"Potosí",1,"Tomás Frías",1,"Potosí","Potosí",3,"DISTRITO 3",5,"CONCEPCION",33,"Esc. Benicio Montero Mallo",2065,10,170,"Esc. Benicio Montero Mallo","Potosí","Potosí",-19.591118,-65.747482,864.3052093221664,10,1742.99,749.6492089457593
575,3207,1003205320700575,5,"Potosí",1,"Tomás Frías",2,"Tinguipaya","Vilapampa",0,"SIN DISTRITO",1,"VILAPAMPA",34,"U.E. Vilapampa",310,4,24,"U.E. Vilapampa","Tinguipaya","Vilapampa",-19.027224,-65.909728,7.302775860557679,2,1600.71,918.9353641851703
1,1357,1003201135700001,1,"Chuquisaca",6,"Yamparáez",1,"Tarabuco","Morado Ckasa",4,"TARABUCO - MORADO CKASA",327,"TARABUCO - MORADO CKASA",3,"U. Edu. Jaime Villa Zamora",352,2,55,"U. Edu. Jaime Villa Zamora","Tarabuco","Morado Ckasa",-19.05788,-64.91453,10.355011313969305,2,2110.64,934.8970447312219
1201,1024,1003203102401201,3,"Cochabamba",12,"Carrasco",1,"Totora","Totora",0,"SIN DISTRITO",0,"SIN ZONA",25,"U.E. La Paz",3238,10,305,"U.E. La Paz","Totora","Totora",-17.7325,-65.1895,23.679429617146436,15,2072.3,1584.2259999980663
2605,729,1003202072902605,2,"La Paz",1,"Murillo",1,"Nuestra Señora de La Paz","Nuestra Señora de La Paz",26,"DISTRITO 26",2602,"BAJO MARISCAL SANTA CRUZ",9,"Colegio Italia",1408,3,72,"Colegio Italia","Nuestra Señora de La Paz","Nuestra Señora de La Paz",-16.493988,-68.161267,5195.2131036425835,7,1068.86,2410.7871786625437
19,2052,1003206205200019,6,"Tarija",6,"O' Connor",1,"Entre Ríos","Lagunitas",0,"SIN DISTRITO",0,"SIN ZONA",42,"U.E. Lagunitas",130,0,4,"U.E. Lagunitas","Entre Ríos","Lagunitas",-21.41483,-63.89547,2.080453937024772,1,2396.06,593.0534125879196
2,2132,1003204213200002,4,"Oruro",6,"Poopó",2,"Pazña","Peñas",0,"SIN DISTRITO",0,"SIN ZONA",31,"Esc. Mariscal Sucre",842,3,102,"Esc. Mariscal Sucre","Pazña","Peñas",-18.69305,-66.75761,6.094214832130421,4,1368.44,899.7773681598903
422,1823,1003205182300422,5,"Potosí",13,"General Bernardino Bilbao",2,"Acasio","Taconi Yambata",0,"SIN DISTRITO",0,"SIN ZONA",38,"Esc. Taconi Yambata",241,0,27,"Esc. Taconi Yambata","Acasio","Taconi Yambata",-18.034823,-65.955805,6.8111790674938835,2,1768.77,1082.3984132411324
