"CODIGO_MESA","CANDIDATURA","ID_PAIS","PAIS","ID_DEPARTAMENTO","DEP","CIRCUNSCRIPCION_UNINOMINAL","CIRCUNSCRIPCION_ESPECIAL","ID_PROVINCIA","PROV","SECCION","MUN","ID_LOCALIDAD","LOCALIDAD","ID_RECI","RECINTO","NUMERO_MESA","HAB","CREEMOS","MAS","FPV","PAN_BOL","CC","APG","CPEM_B","CIDOB","BIA_YUQUI","CONAMAQ","OICH","ORCAWETA","YAMINAWA","VV","BL","NU","VOTO_EMITIDO","VOTO_VALIDO_SISTEMA","VOTO_EMITIDO_SISTEMA","NUA"
"1001","PRESIDENTE","4","Alemania","61","Berlín","0","0","1","Berlín","1","Berlín","3804","Berlín","25129","Embajada","1","220",2,34,0,1,104,"0","0","0","0","0","0","0","0","141","0","0","141","141","141",0
"1007","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","1","Buenos Aires","1","C.A. Buenos Aires","3611","C.A. Buenos Aires","25055","Esc. Primaria Común Nº 16 Presidente Bartolome Mitre","5","220",4,74,2,1,38,"0","0","0","0","0","0","0","0","119","0","7","126","119","126",0
"1008","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","1","Buenos Aires","1","C.A. Buenos Aires","3611","C.A. Buenos Aires","25055","Esc. Primaria Común Nº 16 Presidente Bartolome Mitre","6","220",4,83,3,1,38,"0","0","0","0","0","0","0","0","129","0","3","132","129","132",0
"1010","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","1","Buenos Aires","1","C.A. Buenos Aires","3611","C.A. Buenos Aires","25055","Esc. Primaria Común Nº 16 Presidente Bartolome Mitre","8","220",5,64,1,0,35,"0","0","0","0","0","0","0","0","105","0","6","111","105","111",0
"1024","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","1","Buenos Aires","1","C.A. Buenos Aires","3611","C.A. Buenos Aires","25162","Escuela Técnica Nº 29 D.E. 06 Reconquista de Buenos Aires ","3","220",2,89,5,1,32,"0","0","0","0","0","0","0","0","129","0","0","129","129","129",0
"1032","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","1","Buenos Aires","1","C.A. Buenos Aires","3611","C.A. Buenos Aires","25056","Esc. De Educación Media N° 02/13° Escuela del Parque","6","220",5,119,2,0,5,"0","0","0","0","0","0","0","0","131","1","7","139","131","139",0
"1035","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","1","Buenos Aires","1","C.A. Buenos Aires","3611","C.A. Buenos Aires","25056","Esc. De Educación Media N° 02/13° Escuela del Parque","9","84",0,50,2,1,3,"0","0","0","0","0","0","0","0","56","0","2","58","56","58",0
"1041","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","1","Buenos Aires","1","C.A. Buenos Aires","3611","C.A. Buenos Aires","25158","Colegio Nº 18 Dr. Alberto Larroque","6","220",3,149,2,1,6,"0","0","0","0","0","0","0","0","161","0","0","161","161","161",0
"1043","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","1","Buenos Aires","1","C.A. Buenos Aires","3611","C.A. Buenos Aires","25158","Colegio Nº 18 Dr. Alberto Larroque","8","220",2,133,6,1,16,"0","0","0","0","0","0","0","0","158","1","0","159","158","159",0
"1050","PRESIDENTE","11","Argentina","10","Buenos Aires","0","0","1","Buenos Aires","1","C.A. Buenos Aires","3611","C.A. Buenos Aires","25163","Escuela De Jornada Completa Nº 08 D.E. 20 Dr. Dalmacio Vélez Sársfield","4","220",0,137,0,2,8,"0","0","0","0","0","0","0","0","148","0","3","151","148","151",1
