"ID_RECI","NumPaís","NombrePais","Ciudad","CIU","NumProv","nomprov","NumMuni","nombremunicipio","idloc","AsientoElectoral","NumDist","nomdist","NumZona","nomzona","CIRCUNDIST","RECI","REC","Mesa","HAB","INHAB","RECI_GEO_FID","PAIS","NumDep","DEP","PROV","MUN","Distrito","Zona","nomCircun","TipoCircunscripcion","Recinto","N_MESAS","Habilitados","LAT","LON","URB","DEN_C","BOL"
"1100461380425129",4,"Alemania",61,"Berlín",1,"Berlín",1,"Berlín",3804,"Berlín",1,"Distrito Berlin",101,"Zona Berlin",0,25129,"Embajada",1,268,11,"Exterior: 0000","Alemania",61,"Berlín","Berlín","Berlín","Distrito Berlin","Zona Berlin",NA,NA,"Embajada",2,268,52.5051076,13.3484428,"exterior","exterior",FALSE
"1101110361125055",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",101,"Zona A",0,25055,"Esc. Primaria Común Nº 16 Presidente Bartolome Mitre",1,2466,800,"Exterior: 0001","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona A",NA,NA,"Esc. Primaria Común Nº 16 Presidente Bartolome Mitre",12,2466,-34.60668,-58.40624,"exterior","exterior",FALSE
"1101110361125056",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",102,"Zona B",0,25056,"Esc. De Educación Media N° 02/13° Escuela del Parque",1,1844,427,NA,"Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona B",NA,NA,"Esc. De Educación Media N° 02/13° Escuela del Parque",9,1844,-34.64503,-58.47635,"exterior","exterior",FALSE
"1101110361125057",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",103,"Zona C",0,25057,"Escuela N° 22 De 11 Hipólito Bouchard",1,2704,364,"Exterior: 0004","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona C",NA,NA,"Escuela N° 22 De 11 Hipólito Bouchard",13,2704,-34.6430163,-58.4501199,"exterior","exterior",FALSE
"1101110361125058",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",104,"Zona D",0,25058,"Esc. de Educacion Media N° 06/01° Padre Carlos Mugica",1,1962,314,"Exterior: 0006","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona D",NA,NA,"Esc. de Educacion Media N° 06/01° Padre Carlos Mugica",9,1962,-34.587028,-58.369444,"exterior","exterior",FALSE
"1101110361125059",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",105,"Zona E",0,25059,"Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia",1,2626,457,"Exterior: 0007","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona E",NA,NA,"Esc. Primaria Común Nº 08 D.E. 13 Reino De Thailandia",12,2626,-34.658803,-58.475156,"exterior","exterior",FALSE
"1101110361125157",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",101,"Zona A",0,25157,"Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón",1,1461,481,NA,"Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona A",NA,NA,"Esc. Primaria Común N° 03 Dr. Onésimo Leguizamón",7,1461,-34.5960352,-58.3891957,"exterior","exterior",FALSE
"1101110361125158",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",102,"Zona B",0,25158,"Colegio Nº 18 Dr. Alberto Larroque",1,2322,264,"Exterior: 0010","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona B",NA,NA,"Colegio Nº 18 Dr. Alberto Larroque",11,2322,-34.6278436,-58.4880553,"exterior","exterior",FALSE
"1101110361125160",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",103,"Zona C",0,25160,"Escuela N° 12 De 19 José Enrique Rodo",1,3330,370,"Exterior: 0011","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona C",NA,NA,"Escuela N° 12 De 19 José Enrique Rodo",16,3330,-34.6461888,-58.4413242,"exterior","exterior",FALSE
"1101110361125161",11,"Argentina",10,"Buenos Aires",1,"Buenos Aires",1,"C.A. Buenos Aires",3611,"C.A. Buenos Aires",1,"Distrito Buenos Aires",103,"Zona C",0,25161,"Centro Educativo Ns  N° 30  De 8 De Nivel Secundario",1,1358,604,"Exterior: 0013","Argentina",10,"Buenos Aires","Buenos Aires","C.A. Buenos Aires","Distrito Buenos Aires","Zona C",NA,NA,"Centro Educativo Ns  N° 30  De 8 De Nivel Secundario",7,1358,-34.63376,-58.4447,"exterior","exterior",FALSE
