"ID_MESA","HAB","INHAB","VV"
"100320308210010318",220,"8",198
"100320308210020705",220,"2",198
"100320232330802002",220,"1",198
"100320626803105906",220,"7",198
"100320514940004202",220,"9",198
"100320204600264501",220,"4",198
"100320722863205202",220,"4",198
"100320825630000113",220,"3",198
"100320518410046710",220,"13",198
"100320515660013405",220,"6",198
"100320208200010207",220,"2",198
"100320308210016115",220,"6",198
"100320202270235801",220,"5",198
"100320420603102619",220,"2",198
"100320724763204607",220,"8",198
"100320208200190509",220,"4",198
"100320722340300803",220,"11",198
"100320722340300111",220,"3",198
"100320514940000502",220,"3",198
"100320517780036702",220,"9",198
"100320208200240336",21,"0",19
"100320140082532301",94,"2",85
"100320127943001205",220,"9",198
"100320113053000708",220,"4",198
"100320308210023011",220,"0",198
"100320514940002107",220,"5",198
"100320724612103302",220,"2",198
"100320722340801521",220,"10",198
"100320724950580006",220,"3",198
"100320722340700117",220,"7",198
"100320518410044304",220,"24",198
"100320227710240201",157,"1",141
"100320330200123904",220,"0",198
"110111041402506403",220,"37",198
"100320722340600605",220,"8",198
"100320207290280406",220,"2",198
"100320203680296701",220,"0",198
"100320722340501611",220,"8",198
"110341841552508306",79,"137",71
"100320308210013105",220,"1",198
"100320515680013604",220,"12",198
"100320516140018502",220,"8",198
"100320724422101207",220,"8",198
"100320208200080109",220,"1",198
"100320420590008811",220,"3",198
"100320208200060115",220,"3",198
"100320722341002109",220,"2",198
"100320724422105006",220,"10",198
"100320626800008705",220,"8",198
"100320722340800604",220,"7",198
"100320722340501007",220,"3",198
"100320309620904209",220,"3",198
"100320517440033303",220,"11",198
"100320722340500415",220,"5",198
"100320201060240103",220,"6",198
"100320626800007708",220,"4",198
"100320309760101126",220,"4",198
"100320722342585708",220,"7",198
"100320722340801128",220,"2",198
"100320308210024303",220,"1",198
"100320722342541709",220,"2",198
"100320207290290411",87,"1",78
"100320207290250403",220,"6",198
"100320722340602001",220,"6",198
"100320722842502004",220,"4",198
"100320725101600102",220,"9",198
"100320722573204502",220,"8",198
"100320127940022820",220,"3",198
"100320208200050428",220,"2",198
"100320207290080104",220,"3",198
"100320208200050215",220,"5",198
"100320208200240108",220,"4",198
"100320204590264301",220,"8",198
"100320127940040320",220,"7",198
"100320309993008006",220,"5",198
"100320308210020013",220,"4",198
"100320309710105125",55,"0",50
"100320207290270304",220,"0",198
"100320724782001014",220,"2",198
"100320722340201713",125,"3",112
"100320722340501301",220,"7",198
"100320619510000401",220,"3",198
"100320208200060404",220,"3",198
"100320310422593213",220,"1",198
"100320825590000402",220,"0",198
"100320515970016903",220,"13",198
"100320207292559802",220,"0",198
"100320308210017106",220,"5",198
"100320333620906307",220,"0",198
"100320516540022402",190,"2",171
"100320724782001012",220,"9",198
"100320515300008814",220,"3",198
"100320308210021912",220,"5",198
"100320723910400614",220,"10",198
"100320207290140514",220,"4",198
"100320723200801825",220,"5",198
"110111036112516012",220,"28",198
"110111036112519105",220,"9",198
"100320205510281313",220,"5",198
"100320626800007501",220,"7",198
"100320330100302901",220,"0",198
"100320722340500521",220,"6",198
"100320722340300704",220,"2",198
"100320308212547806",220,"0",198
"100320825550000308",220,"6",198
"100320420590011101",220,"5",198
"100320207290302010",220,"2",198
"100320420590009707",220,"9",198
"100320725061901105",220,"5",198
"100320722340901007",220,"8",198
"100320206980256526",220,"5",198
"100320422280000203",28,"2",25
"100320208200020226",220,"1",198
"100320722341108220",98,"0",88
"100320208202502803",220,"0",198
"100320722343203502",220,"4",198
"100320724371500812",220,"8",198
"100320204960267301",220,"5",198
"100320722591101009",220,"5",198
"100320724782001024",220,"13",198
"100320200930245713",220,"2",198
"100320207290250407",220,"3",198
"100320739300000101",73,"0",66
"100320208200030218",220,"3",198
"100320310020103509",220,"1",198
"100320515683115403",220,"16",198
"100320724830001503",138,"5",124
"100320514943111201",220,"6",198
"100320730540103507",220,"4",198
"100320722341001114",220,"2",198
"100320825680000101",51,"5",46
"100320308630300901",220,"20",198
"100320723790403501",205,"3",184
"100320207292533703",220,"0",198
"100320619970000805",220,"4",198
"100320517780036708",220,"5",198
"100320619502571813",220,"2",198
"100320728710405701",173,"2",156
"100320309710104726",220,"3",198
"100320515170007401",220,"2",198
"100320619770000906",220,"1",198
"100320208200230224",220,"1",198
"100320208200060116",220,"3",198
"100320722342544001",220,"0",198
"100320533280000101",220,"5",198
"100320722340700121",220,"2",198
"100320516083115201",220,"7",198
"100320911730006207",220,"9",198
"100320127940023018",220,"10",198
"100320206980256525",220,"2",198
"100320722340300710",220,"2",198
"100320420590013104",220,"1",198
"100320619710000603",30,"1",27
"100320206012579808",220,"0",198
"100320113090000102",83,"6",75
"100320207292503627",220,"4",198
"100320208200200204",220,"0",198
"100320308210013410",220,"4",198
"100320722342566218",220,"3",198
"100320206260254511",220,"4",198
"100320722340800414",194,"11",175
"100320341132552201",220,"2",198
"100320722340800102",220,"7",198
"100320208200120408",220,"1",198
"100320207290303402",220,"4",198
"100320208200240255",220,"1",198
"100320722341106806",220,"0",198
"110621436152506902",220,"70",198
"100320309560903501",220,"3",198
"100320735560000101",93,"2",84
"100320722340800002",220,"5",198
"100320308210011215",220,"7",198
"100320722342566403",220,"0",198
"100320517780036903",220,"8",198
"100320234570000102",43,"0",39
"100320207290050623",220,"2",198
"100320724422105021",220,"7",198
"100320722341104703",220,"10",198
"100320722340400009",220,"10",198
"100320514940002902",220,"4",198
"100320207292503501",220,"6",198
"100320827840000107",220,"18",198
"100320308210016815",220,"6",198
"100320825260001502",220,"12",198
"100320227670291210",220,"4",198
"100320626803106105",220,"7",198
"100320827840000504",220,"9",198
"100320722340302708",220,"5",198
"100320207290290304",220,"3",198
"100320333610906201",220,"2",198
"100320207290120225",220,"0",198
"100320724422105014",220,"8",198
"100320420590009607",220,"3",198
"100320722340100612",220,"12",198
"100320723370201518",203,"9",183
"100320204830266303",220,"5",198
"100320309590905337",220,"3",198
"100320208200120322",220,"0",198
"100320308210016422",220,"8",198
"100320203730277201",220,"2",198
"100320203012573207",220,"5",198
"100320626800008704",220,"7",198
"100320722340500515",220,"7",198
"100320208200040325",220,"0",198
"100320208200140333",220,"3",198
"100320207290110207",220,"6",198
"100320626800009409",220,"6",198
"100320308210016903",220,"0",198
"100320722341002308",220,"5",198
"110111041382506306",220,"56",198
"100320308210024207",220,"1",198
"100320420590010305",220,"2",198
"100320722341001814",220,"4",198
"100320208200240230",220,"0",198
"100320207290140532",220,"3",198
"100320722340300907",220,"3",198
"100320207290010312",220,"4",198
"100320735380000114",220,"3",198
"100320208200020425",220,"3",198
"100320331760124109",220,"2",198
"100320310310122104",220,"4",198
"100320722341002032",220,"9",198
"100320206200269004",220,"5",198
"100320420603102602",220,"3",198
"100320722343205503",220,"3",198
"100320308213008708",194,"3",175
"100320825262503101",220,"2",198
"100320722340202120",220,"5",198
"100320530310051401",220,"8",198
"100320722340702715",220,"7",198
"100320227650249302",118,"2",106
"110341836192507908",220,"29",198
"110111041372518409",220,"21",198
"100320206980254605",220,"10",198
"100320626802571121",220,"6",198
"100320933000000201",109,"1",98
"100320207292504401",220,"3",198
"100320208200210524",220,"3",198
