"ID_MESA","HAB","INHAB","VV","0"
"100320309802590301",220,"0",198,0
"100320722340202503",220,"7",198,0
"100320515303114813",220,"0",198,0
"110111036112519114",220,"1",198,0
"100320309342503411",220,"9",198,0
"100320208200210216",220,"3",198,0
"100320207290190228",220,"3",198,0
"100320722342541803",220,"0",198,0
"100320722340702408",220,"6",198,0
"100320514942504803",220,"1",198,0
"100320722341107203",220,"0",198,0
"100320308210016912",220,"2",198,0
"100320514943110403",220,"3",198,0
"100320937580000102",87,"0",78,0
"100320722341105702",66,"0",59,0
"100320722340202116",220,"8",198,0
"100320727641403312",220,"7",198,0
"100320722340100815",220,"3",198,0
"100320207290020106",220,"6",198,0
"100320204590264319",220,"5",198,0
"100320631620000305",220,"4",198,0
"100320207290050108",21,"0",19,0
"100320308210011114",220,"1",198,0
"100320735800000101",142,"4",128,0
"100320309090700206",220,"2",198,0
"100320722541102701",220,"1",198,0
"100320723372200005",220,"3",198,0
"100320207210255003",220,"5",198,0
"100320722341003316",220,"4",198,0
"100320207290120124",220,"6",198,0
"100320208200190506",220,"2",198,0
"100320723920404702",220,"2",198,0
"100320722340800408",220,"5",198,0
"100320722340702717",220,"3",198,0
"100320722340502904",220,"3",198,0
"100320309710104811",220,"3",198,0
"100320331210701601",116,"6",104,0
"100320202860251801",204,"1",184,0
"100320626800009906",220,"9",198,0
"100320207293003414",220,"1",198,0
"100320626800006713",220,"9",198,0
"100320927732593802",220,"4",198,0
"100320514940001703",220,"3",198,0
"100320308210022526",140,"3",126,0
"100320722341000707",220,"1",198,0
"100320112640000108",220,"2",198,0
"100320208202504130",138,"4",124,0
"100320722340702014",220,"7",198,0
"100320722340001010",220,"3",198,0
"100320540842549001",220,"0",198,0
"100320722340301202",220,"6",198,0
"100320208200150111",220,"2",198,0
"100320227672560601",220,"0",198,0
"100320207290250113",220,"7",198,0
"100320308210011423",220,"4",198,0
"100320206982533902",220,"0",198,0
"100320724782001201",220,"1",198,0
"100320208200200706",220,"4",198,0
"100320724200302101",166,"4",149,0
"100320722341004013",220,"5",198,0
"100320310240120112",220,"4",198,0
"100320127940023108",88,"7",79,0
"100320208200180232",220,"2",198,0
"100320517690036601",206,"18",185,0
"100320205080230713",220,"3",198,0
"100320207290110236",220,"3",198,0
"100320207290101007",220,"4",198,0
"100320724672000041",220,"4",198,0
"100320208200010106",220,"4",198,0
"100320207290200120",220,"0",198,0
"100320309360901507",220,"14",198,0
"100320516713113903",220,"5",198,0
"100320626802571208",220,"0",198,0
"100320724840001604",220,"3",198,0
"100320632890000102",75,"3",68,0
"100320203630291801",220,"0",198,0
"100320515990048701",220,"6",198,0
"100320310762503721",220,"7",198,0
"100320722541102606",220,"0",198,0
"100320626802571210",220,"5",198,0
"100320619440001001",238,"9",214,0
"100320202000303901",104,"2",94,0
"100320113053000708",220,"4",198,0
"100320825260004018",105,"1",94,0
"100320722340501705",220,"3",198,0
"100320308210017324",220,"1",198,0
"100320309750101035",220,"2",198,0
"100320730540103510",193,"4",174,0
"100320724512102323",220,"7",198,0
"100320204930267012",220,"6",198,0
"100320308210012609",220,"4",198,0
"100320112080005601",220,"11",198,0
"100320207292503802",220,"5",198,0
"100320420593100405",44,"1",40,0
"100320309710104806",220,"8",198,0
"100320207290300204",220,"3",198,0
"100320619770000813",220,"3",198,0
"100320308220200304",220,"5",198,0
"100320308210018734",220,"2",198,0
"110118543722618104",220,"0",198,0
"100320722340600309",220,"5",198,0
"100320722341001218",220,"6",198,0
"100320207520000104",32,"0",29,0
"100320208200020222",220,"2",198,0
"100320113180000101",220,"4",198,0
"100320309852503101",220,"4",198,0
"100320127942552605",220,"7",198,0
"100320420590014018",220,"4",198,0
"100320724672000010",220,"5",198,0
"100320208200190621",220,"1",198,0
"100320825820000101",220,"8",198,0
"100320724391501003",220,"6",198,0
"100320618910000402",220,"5",198,0
"100320619950000706",48,"1",43,0
"100320308210021509",220,"1",198,0
"100320208200120817",220,"2",198,0
"100320825260001304",220,"7",198,0
"100320420590009302",188,"3",169,0
"100320208200030116",220,"3",198,0
"110672737702618603",220,"22",198,0
"100320310762504218",220,"7",198,0
"100320308210023203",220,"1",198,0
"100320309342504407",220,"2",198,0
"100320310762503904",220,"0",198,0
"100320207290120212",220,"0",198,0
"100320735520000107",88,"3",79,0
"100320420590011602",220,"6",198,0
"100320518410044603",220,"18",198,0
"100320310830141106",141,"3",127,0
"100320207290100722",220,"6",198,0
"100320722341002903",220,"2",198,0
"100320722340501317",220,"2",198,0
"100320112780000102",220,"9",198,0
"100320127940051105",220,"4",198,0
"100320309342503617",227,"10",204,0
"100320722341104805",220,"6",198,0
"100320533870000101",233,"3",210,0
"100320232230802201",220,"0",198,0
"100320208200110128",220,"5",198,0
"100320127940051610",220,"3",198,0
"100320528170049502",133,"16",120,0
"100320722340701807",220,"5",198,0
"100320518320043101",87,"4",78,0
"100320338520000101",220,"0",198,0
"100320421620000201",220,"9",198,0
"100320723910401205",220,"5",198,0
"100320208200100219",220,"0",198,0
"100320722340502805",220,"1",198,0
"100320207300000107",220,"3",198,0
"100320420590014303",220,"1",198,0
"100320724950580011",220,"3",198,0
"100320420843102812",220,"3",198,0
"100320722342565605",156,"0",140,0
"110111036112516004",220,"23",198,0
"100320308210019410",220,"5",198,0
"100320626800008506",220,"14",198,0
"100320722862400209",220,"7",198,0
"100320208200120111",220,"8",198,0
"100320722340701315",220,"3",198,0
"100320722340702102",220,"7",198,0
"100320722343203607",220,"8",198,0
"100320308210022203",220,"1",198,0
"100320208200010122",220,"1",198,0
"100320208200210107",220,"4",198,0
"100320201262576005",123,"4",111,0
"100320309510902923",220,"2",198,0
"100320308210022407",220,"1",198,0
"100320127940021219",220,"7",198,0
"100320927732593806",151,"12",136,0
"100320309620904202",220,"3",198,0
"100320626800000614",220,"7",198,0
"100320722342566103",220,"0",198,0
