"ID_MESA","HAB","INHAB","BL","NU","MAS","CC","Creemos","FPV","PAN_BOL","VV"
"100320309590905412",220,"5",11,10,74,82,15,14,14,199
"100320722652500304",220,"1",16,9,71,68,20,15,21,195
"100320309510903021",220,"4",7,14,72,76,18,19,14,199
"100320207292503703",220,"8",17,10,84,61,16,17,15,193
"100320127940051401",220,"6",11,8,77,77,20,13,14,201
"100320308970600602",220,"0",14,15,79,67,15,15,15,191
"100320722571102219",220,"7",9,11,75,73,20,18,14,200
"100320208200210206",220,"2",8,13,70,77,12,22,18,199
"100320208200210133",220,"1",9,13,71,84,13,16,14,198
"100320202830249905",220,"4",8,13,85,69,18,11,16,199
"100320620500001701",220,"6",10,11,74,72,21,16,16,199
"100320308210022303",220,"1",16,10,75,68,18,22,11,194
"100320514943112101",220,"2",12,8,79,70,18,12,21,200
"100320825263200504",220,"6",9,13,77,61,21,21,18,198
"100320619160000917",116,"9",6,6,36,43,10,8,7,104
"100320127940050808",220,"7",10,12,77,68,19,14,20,198
"100320208202503718",220,"3",9,17,65,74,13,21,21,194
"100320207293003915",90,"2",2,7,33,25,9,9,5,81
"100320208200180241",220,"1",10,10,75,78,15,13,19,200
"100320723391802402",220,"3",15,16,75,76,10,13,15,189
"100320723200801810",220,"8",11,6,84,74,17,15,13,203
"100320310460122604",81,"1",1,6,31,28,5,5,5,74
"100320740332536401",220,"1",6,7,82,75,17,25,8,207
"100320722340900934",220,"3",14,14,87,67,11,11,16,192
"110111036112516904",220,"23",12,11,77,66,15,17,22,197
"100320113770000101",220,"6",7,3,78,80,13,20,19,210
"100320308210016911",220,"7",8,17,77,72,16,16,14,195
"110111036112505807",220,"37",12,12,74,70,17,15,20,196
"100320724782001102",220,"1",15,9,61,80,26,16,13,196
"100320208200040325",220,"0",16,9,80,79,8,14,14,195
"100320203770277602",35,"0",3,1,17,11,1,0,2,31
"100320722340800517",220,"7",7,9,79,71,16,18,20,204
"100320722662500401",220,"1",12,10,70,81,13,9,25,198
"100320127940011512",220,"3",8,8,93,68,9,19,15,204
"100320203230297621",220,"6",12,8,79,76,19,15,11,200
"100320127943001103",220,"6",10,10,71,72,18,24,15,200
"110111036112516701",220,"54",11,13,71,70,12,29,14,196
"100320309590905611",220,"1",8,8,75,76,16,17,20,204
"100320420590013206",220,"3",15,7,70,78,16,18,16,198
"100320723200801825",220,"5",7,10,67,75,19,18,24,203
"100320723173205107",53,"2",2,4,22,14,3,4,4,47
"100320420590013303",220,"4",18,8,87,72,7,14,14,194
"100320421390000501",220,"0",11,11,73,78,12,17,18,198
"100320113140000103",220,"5",7,10,70,86,14,23,10,203
"110111036112517311",220,"24",12,7,80,75,21,14,11,201
"100320722340800513",220,"5",14,12,73,78,16,13,14,194
"100320208200050518",220,"1",13,13,69,73,21,17,14,194
"100320514940001207",220,"2",16,14,77,68,10,14,21,190
"100320207290151201",220,"2",12,11,79,70,23,15,10,197
"100320514943112405",220,"4",7,15,68,78,17,12,23,198
"100320308210020701",220,"2",11,11,74,75,13,20,16,198
