"ID_MESA","HAB","INHAB","VV","BL","NU","MAS","CC","Creemos","FPV","PAN_BOL"
"100320127940012301",220,"4",198,11,5,65,71,20,14,12
"100320619690000501",229,"6",206,8,5,79,76,12,13,13
"100320722341001808",220,"8",198,9,6,68,68,18,13,16
"100320514940003901",220,"1",198,16,8,70,73,10,11,10
"100320207290160215",220,"6",198,8,5,64,76,15,14,16
"100320308210017609",220,"6",198,9,9,73,64,18,12,13
"100320208200130120",220,"6",198,2,6,68,77,13,19,13
"100320722340702217",220,"12",198,11,7,80,64,15,11,10
"100320517300031501",220,"2",198,9,4,75,73,13,13,11
"100320310010103414",116,"0",104,3,6,40,41,7,4,3
"100320208200210112",220,"3",198,11,9,71,67,14,10,16
"100320207290120320",35,"10",32,3,2,10,10,1,3,3
"100320127940011111",220,"5",198,8,11,71,63,17,17,11
"100320722340600007",220,"1",198,9,6,76,62,17,12,16
"100320309362568701",220,"0",198,12,9,56,72,16,14,19
"100320932620000102",220,"3",198,7,8,61,87,7,12,16
"100320227690266908",220,"3",198,13,9,56,81,10,18,11
"100320234120000102",220,"6",198,9,11,70,66,20,10,12
"100320722341002421",210,"4",189,19,6,52,68,13,20,11
"100320201290238901",104,"0",94,6,5,31,29,8,11,4
"100320308210010119",220,"7",198,11,9,66,71,15,14,12
"100320308212588603",220,"0",198,10,11,61,71,17,17,11
"100320207292534207",220,"2",198,9,8,84,60,15,15,7
"100320927960007601",220,"8",198,12,13,66,65,13,13,16
"100320207290190221",220,"2",198,14,6,69,67,18,7,17
"100320309342504602",220,"1",198,6,9,82,66,10,10,15
"100320207290230501",220,"1",198,10,7,63,70,15,18,15
"100320735380000138",220,"10",198,13,8,63,64,21,11,18
"100320308210014408",220,"3",198,11,10,66,65,14,15,17
"100320308212588805",220,"0",198,15,9,70,63,14,16,11
"100320309342504719",220,"3",198,11,11,57,78,12,11,18
"100320127940051503",220,"15",198,8,8,65,69,14,21,13
"100320722340101203",220,"8",198,7,10,73,72,17,8,11
"100320208200120413",220,"1",198,12,11,70,60,18,9,18
